sentence,hate,category
তোর মায়ের ভোদা দিয়া কি তুই জন্ম হয়েছোচ না পুটকি দিয়া তোর মা বোনরে কুত্তা দিয়া চোদাই খানকির পুত তুই সব সময় এমন উল্টা পাল্টা জিনিস ছারোছ তো কি জিব্বায় তোর মায়ের মাসিক লাগাইছোচ নাকি কুত্তার চোদায় জন্ম তোর জিব্বা বড় এমন লেহাইয়া লেহাইয়া জিব্বায় বাজাইয়া কথা চোদাছ কেনো,1,sports
তুই হালা,1,sports
এটা আস্থা মিডিয়ার মাগী । ওনি এখন ইসলামের বোরকার নিছে হান্দাইছে । বেহেশতের পুরুষ হুুঁরের অপেক্ষায়। ওনার এখন নাম আমাতুল্লাহ । ওনি বলেছিলেন কখনো বিয়ে করবেন না। শালী এখন হুজুরেরে বিয়ে করেছেন।,1,sports
এই পৃথিবীতে কে এত ভালো মানুষ আছে যারা মধ্যে মেয়ে মানুষের চাওয়া নেই যত সব ফালতু খবর মানুষ জনের খেদে দেএ কাজ নেই মানুষের বেকেতি বেপার নিয়ে এদের মাথা ব্যাথা,1,sports
তুই মাদারচোদ পদত্যাগ করলেই তো হয়। তুই পদত্যাগ করিস না কেন। তুই নিজে তো ধ্বংস করে দিচ্ছিস। একজন জুয়াড়িকে তোর বন্ধু বলতেছিস। গাঞ্জা খায়নি জীবন বলতেছিস। শেষ পর্যন্ত সে জুয়ার সাথে জড়িত জেলহাজতে আছে এখন।,1,sports
এজন্য সাকিবের কোটি পাবে বিজ্ঞাপন করে সেটার জন্য কোটি টাকা লস করবে বাংলাদেশ ক্রিকেট টিম??সাকিবের এতো নিজের সার্থ দেখে কেন?এতো লোভ ভালো না তিন তিন টা খেলায় সে জুয়াড়িদের সাথে কন্ট্রাক্ট রাখছে আই সি সি যে জানায় না কারন কি?জুয়াড়িরা কি সাকিবের দুলা দুলাভাই?,1,sports
ওর ভাবসাব টা কি,1,sports
মাদার চোদরা একটাও ভালো না,1,sports
সালার বোকাচোদার যত সব টাইটেল,1,sports
এ কুত্তার বাচ্চাকে দল থেকে বাদ দেওয়া দরকার।,1,sports
এইসব বালের নিউজ দেন ক্যান। সালারা ভিউ বারানোর জন্য আর কতো মিথ্যা বলবি,1,sports
সালা একটা মাদার চোদ । ঠিক মতো পিটিয়ে হাড্ডিগোস্ত এক করা দরকার।,1,sports
অডমিন সালা এখানে কই বলছে হেপি তুমি কই সালা পাগল ছাগল কই থেকে আসে এগুলা ভিখা কর তাও মিথ্যা কথা কইস না,1,sports
পাপন খানকির পোলাসহমত হইলে লাইক দিন,1,sports
মুশফিক আমাদের বিনোদন দাতা।।।আহামরি কেউ না গালি দিলে ই কি বা না দিলেই কি কামলার বাচ্চা রা,1,sports
পাপন কে বহিষ্কার করা হোক হারামি সালা,1,sports
পাপনকে জুতা এরে ধরে না কে বঝলাম না এটাই কি ক্ষমতার দাপটওকে কে চিনে সালা,1,sports
তুর মাকে কত মানুসকে দিয়ে চুদাভি মাগির পুলা,1,sports
বাকোয়াচ থামনেল চোদাও সালা জোতচোর,1,sports
সালারে হরা আগে,1,sports
মাগি খোর সাব্বির কে বাদ দাও,1,sports
তোর মারে চুদি মাগির পুলা বেশশা মাগির পুলা,1,sports
কেন এই শালা পাপন শভাপতি থেকে সরায়না,1,sports
যে দেশের নাগরিক এখনো খালি পেটে থাকে সেই দেশে এই শালাদের কে কোটি কোটি টাকা বেতন দিয়ে বেপানা করার জন্য সুযোগ দিতেছে হায়রে বাঙালি জাতি কবে তোরা বুঝবি কবে তোরা শিখবি তোদের টাকা দিয়ে তাদেরকে বেতন দেয় কিন্তু তোরা খালি পেটে থাক অশিক্ষিত বাঙালি জাতি,1,sports
মেহেদী হাসান রানা যে বোকাচোদা বোলার তা তম ওভার দেখলেই বোঝাযায়।বার বার ওফ স্টাম্পের বাইরে বল করে ছয় খেয়েছে।,1,sports
